CountryCode,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,2013[YR2013],2014[YR2014],"2015[YR2015]
"
NOC,10.94118533,10.82097232,11.10992871,10.6723554,11.45430124,11.66039326,,,,
,,,,,,,,,,
OEC,12.09756163,12.12069359,11.77996103,10.97563411,11.24348076,10.97783709,,,,
,,,,,,,,,,
HND,1.00008677,1.230602978,1.194640242,1.058414368,1.080473355,1.103745053,,,,
,,,,,,,,,,
HUN,5.698187039,5.572459521,5.463501182,4.867185924,5.074749628,4.862989931,,,,
,,,,,,,,,,
ISL,7.496188056,7.414833454,6.677481144,6.447492771,6.168528586,5.896828979,,,,
,,,,,,,,,,
IRQ,3.563542432,2.186766827,3.194050322,3.47996689,3.610434779,4.20163513,,,,
,,,,,,,,,,
IRL,10.13026328,10.16503468,9.527000515,8.891436541,8.810150532,7.880759326,,,,
,,,,,,,,,,
IMY,,,,,,,,,,
,,,,,,,,,,
ISR,8.872604307,8.750116433,9.340594762,8.612962755,9.036666273,8.952413531,,,,
,,,,,,,,,,
JAM,4.530808785,5.062906364,4.476814921,3.204231319,2.672410756,2.872655693,,,,
,,,,,,,,,,
JOR,3.815375723,3.892422364,3.689815762,3.70109721,3.50324049,3.601147064,,,,
,,,,,,,,,,
KAZ,12.57715649,14.2211715,14.65957764,13.30972781,15.14647827,15.81009754,,,,
,,,,,,,,,,
KEN,0.263863006,0.263921731,0.267801815,0.31450114,0.307975417,0.327569171,,,,
,,,,,,,,,,
KIR,0.739181175,0.533049528,0.558783791,0.401099775,0.607308472,0.595622098,,,,
,,,,,,,,,,
KSV,,,,,,,,,,
,,,,,,,,,,
KWT,30.87219115,29.63684934,30.58126375,29.72170379,29.69343348,28.10266175,,,,
,,,,,,,,,,
KGZ,0.991517898,1.120619163,1.069343449,1.180486133,1.129467501,1.199591629,,,,
,,,,,,,,,,
LAO,0.270683528,0.158048796,0.161954988,0.160311795,0.203248951,0.188910506,,,,
,,,,,,,,,,
LCN,2.730276164,2.784628595,2.885805608,2.77490225,2.896043161,2.933329176,,,,
,,,,,,,,,,
LAC,2.200341489,2.26156096,2.317946458,2.227560493,2.346971026,2.384175607,,,,
,,,,,,,,,,
LVA,3.418456092,3.779785259,3.629405756,3.443266443,3.963228139,3.786801437,,,,
,,,,,,,,,,
LDC,0.23078804,0.235666157,0.241047472,0.253354925,0.263975339,0.268707273,,,,
,,,,,,,,,,
LBN,3.572961427,3.309380466,4.202060939,5.001002214,4.632411885,4.668312508,,,,
,,,,,,,,,,
LSO,0.74460882,0.753779806,1.056111113,1.06118278,1.123489371,1.082269608,,,,
,,,,,,,,,,
LBR,0.224257889,0.192597983,0.156752837,0.138178275,0.202899199,0.218425012,,,,
,,,,,,,,,,
LBY,9.227794152,8.84546264,9.136624366,10.0370768,10.54269589,6.204914344,,,,
,,,,,,,,,,
LIE,1.966441816,1.95047731,1.527746917,1.617377881,1.405096204,,,,,
,,,,,,,,,,
LTU,4.371365075,4.564324385,4.598897641,3.925637608,4.319017771,4.537558514,,,,
,,,,,,,,,,
LMY,2.53543983,2.628246847,2.715562107,2.820472848,2.928909063,3.103174447,,,,
,,,,,,,,,,
LIC,0.278469196,0.250995424,0.264837391,0.261094637,0.261153961,0.27096449,,,,
,,,,,,,,,,
LMC,1.265631308,1.320802478,1.389787612,1.424165246,1.426754417,1.508992665,,,,
,,,,,,,,,,
LUX,24.01285765,22.96492241,22.38547222,20.87712517,21.6351358,20.8978117,,,,
,,,,,,,,,,
MDG,0.089405156,0.093705131,0.099740761,0.092499326,0.098983365,0.112992805,,,,
,,,,,,,,,,
MWI,0.072711421,0.070632195,0.082545714,0.073703111,0.082179517,0.079231485,,,,
,,,,,,,,,,
MYS,6.497627846,7.037791323,7.656532739,7.373235988,7.986951475,7.898823573,,,,
,,,,,,,,,,
MDV,2.664906907,2.626790831,2.78570442,2.964158333,2.927604905,2.927763926,,,,
,,,,,,,,,,
MLI,0.070805643,0.073290823,0.075281844,0.078108539,0.081476607,0.079956379,,,,
,,,,,,,,,,
MLT,6.351303206,6.698844917,6.252313871,5.796405618,6.316495701,6.034321639,,,,
,,,,,,,,,,
MHL,1.760272657,1.899052478,1.895961395,1.962424266,1.958419165,1.954207191,,,,
,,,,,,,,,,
MRT,0.496585807,0.55418962,0.567036613,0.608387039,0.595272317,0.627225464,,,,
,,,,,,,,,,
MUS,2.94193012,2.97588958,3.029991456,2.963163435,3.132082534,3.127070817,,,,
,,,,,,,,,,
