CountryCode,CO2YR2006,CO2YR2007,CO2YR2008,CO2YR2009,CO2YR2010,CO2YR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014],FAYR2006,FAYR2007,FAYR2008,FAYR2009,FAYR2010,FAYR2011,2012 [YR2012],2013 [YR2013],2014 [YR2014]
EST,12.02085298,14.05608572,13.08183443,11.04896311,13.77319664,14.04988252,,,,22484,22448,22412,22376,22340,22336,22332,22328,
,,,,,,,,,,,,,,,,,,
ETH,0.068835709,0.073120622,0.076668381,0.076906232,0.07559157,0.083943117,,,,128592,127184,125776,124368,122960,123366,123772,124178,
,,,,,,,,,,,,,,,,,,
EMU,8.258420033,8.130711421,7.9125701,7.310433287,7.420268336,7.132483,,,,995960.1,1000249.8,1004539.8,1008829.5,1013120,1015445.4,1017771.7,1020097.9,
,,,,,,,,,,,,,,,,,,
EUU,8.135652209,8.008063396,7.810485894,7.179203011,7.353037471,7.06979787,,,,1572379.9,1577372.4,1582365.2,1587357.7,1592350,1596042.6,1599735.1,1603427.5,
,,,,,,,,,,,,,,,,,,
FRO,13.98608391,14.18539476,12.97012071,11.8429021,12.9866782,11.72121175,,,,0.8,0.8,0.8,0.8,0,0.8,0.8,0.8,
,,,,,,,,,,,,,,,,,,
FJI,1.644275372,1.440917951,1.278570124,0.994392232,1.505259596,1.424813248,,,,9963.9,9955.1,9946.4,9937.7,9930,9977.6,10026.2,10074.8,
,,,,,,,,,,,,,,,,,,
FIN,12.57063845,12.09848186,10.65165217,9.958628519,11.53084023,10.1640461,,,,221580,221730,221880,222030,222180,222180,222180,222180,
,,,,,,,,,,,,,,,,,,
PYF,3.300898999,3.239386851,3.306029055,3.288268805,3.296763845,3.167952684,,,,1350,1400,1450,1500,1550,1550,1550,1550,
,,,,,,,,,,,,,,,,,,
GAB,1.478335179,1.381898977,1.39589453,1.423082894,1.455445622,1.418165749,,,,220000,220000,220000,220000,220000,222000,224000,226000,
,,,,,,,,,,,,,,,,,,
GEO,1.398262619,1.463156731,1.463855559,1.421607835,1.466701177,1.769150524,,,,27824.8,27924.6,28024.4,28124.2,28220,28224,28224,28224,
,,,,,,,,,,,,,,,,,,
GHA,0.42630423,0.436236777,0.395319087,0.325052954,0.415441052,0.404379798,,,,90814,91098,91382,91666,91950,92234,92518,92802,
,,,,,,,,,,,,,,,,,,
GRC,8.742449079,8.80106122,8.74361278,8.483171443,7.774920307,7.556057769,,,,37822,38124,38426,38728,39030,39332,39634,39936,
,,,,,,,,,,,,,,,,,,
GRL,11.04479163,11.28207939,11.71815083,10.2217389,11.66377295,12.44034101,,,,2.2,2.2,2.2,2.2,0,2.2,2.2,2.2,
,,,,,,,,,,,,,,,,,,
GRD,2.237296507,2.301012675,2.505022418,2.425962147,2.487241705,2.408137432,,,,169.9,169.9,169.9,169.9,170,169.9,169.9,169.9,
,,,,,,,,,,,,,,,,,,
GUM,,,,,,,,,,250,250,250,250,250,250,250,250,
,,,,,,,,,,,,,,,,,,
GTM,0.928571826,0.915844454,0.811036638,0.864736542,0.771619509,0.748055056,,,,38948,38516,38084,37652,37220,36856,36492,36128,
,,,,,,,,,,,,,,,,,,
GIN,0.119290573,0.119193056,0.191660762,0.196768408,0.225765923,0.229423425,,,,66880,66520,66160,65800,65440,65080,64720,64360,
,,,,,,,,,,,,,,,,,,
GNB,0.144756166,0.151256889,0.145619048,0.146971003,0.145854598,0.146810683,,,,20620,20520,20420,20320,20220,20120,20020,19920,
,,,,,,,,,,,,,,,,,,
GUY,1.735612911,2.095040757,2.083255358,2.085662452,2.282864015,2.357722028,,,,165968,165916,165864,165812,165760,165660,165560,165460,
,,,,,,,,,,,,,,,,,,
HTI,0.224474915,0.250172074,0.250131013,0.229630548,0.211960718,0.217962048,,,,1042,1034,1026,1018,1010,1002,994,986,
,,,,,,,,,,,,,,,,,,
